month,theme,title,slug,format,target_primary_keywords,geo_focus,publish_frequency_per_month,notes
2026-03,Launch — Pillar Cluster,Investment Banking Interview Prep: The Superday AI Roadmap (2026),investment-banking-interview-prep-roadmap,Pillar + PDF CTA,"investment banking interview prep, how to prepare for investment banking interview",Global,3,Anchor pillar post — link target for all other posts
2026-03,Launch — Pillar Cluster,Investment Banking Technical Interview Questions: A Practical Study Plan,investment-banking-technical-interview-questions-study-plan,Pillar + Tracker CTA,"investment banking technical questions, DCF interview questions, LBO interview questions",Global,3,Pillar — link from all technical cluster posts
2026-03,Launch — Pillar Cluster,Investment Banking Behavioral Questions: Frameworks That Don't Sound Generic,investment-banking-behavioral-fit-questions-frameworks,Pillar + Story Bank CTA,"investment banking behavioral questions, why investment banking answer",Global,3,Pillar — behavioral content hub
2026-04,Process Cluster,Walk Me Through a DCF in an Interview: Step-by-Step,walk-me-through-a-dcf-interview,How-to + Template CTA,"walk me through a DCF interview, DCF interview question investment banking",Global,2,Drill-intent cluster — highest search volume in technical category
2026-04,Process Cluster,The Investment Banking Superday: What Happens + How to Prepare in 7 Days,investment-banking-superday-prep-7-day-plan,Process + 7-Day PDF CTA,"superday investment banking, superday prep, investment banking superday tips",US / Global,2,High situational intent — strong conversion opportunity
2026-05,Situational Cluster,HireVue for Investment Banking: Question Types Setup and a Practice Script,hirevue-investment-banking-prep,Situational + Script CTA,"hirevue investment banking, video interview investment banking",Global,2,Funnel-top process content — links to behavioral and superday
2026-05,GEO Hub,Investment Banking Recruiting by Region: US vs UK vs India vs Hong Kong vs Singapore,investment-banking-recruiting-by-region,Market Hub + Regional Checklist CTA,"investment banking recruiting UK, campus placements investment banking India, spring week",US/UK/India/HK/SG,2,GEO differentiation content — hreflang planning trigger
2026-06,Conversion Cluster,Networking for Investment Banking: Cold Email Templates + Follow-Up System,investment-banking-networking-cold-email-templates,Tools + Tracker CTA,"investment banking networking, cold email investment banking, IB coffee chat",Global,2,High conversion intent — direct path to mock interview CTA
2026-07,Technical Deep Dive,LBO Interview Questions: Mechanics Concepts and Practice Answers,investment-banking-lbo-interview-questions,Drill + Tracker CTA,"LBO interview questions, leveraged buyout interview, what makes a good LBO candidate",Global,2,Cluster under Post B — high drill intent
2026-07,Technical Deep Dive,Investment Banking Accounting Questions: The 25 You Need to Know,investment-banking-accounting-interview-questions,Drill + Checklist CTA,"accounting interview questions investment banking, three financial statements interview",Global,2,Cluster under Post B — fills accounting gap in current content
2026-08,Process / Behavioral,Tell Me About Yourself: Investment Banking Answer Examples,tell-me-about-yourself-investment-banking,Behavioral + Story Bank CTA,"tell me about yourself investment banking, walk me through your resume IB",Global,2,Cluster under Post C — highest-traffic behavioral search
2026-08,Process / Behavioral,Why Investment Banking? How to Answer Without Sounding Generic,why-investment-banking-answer,Behavioral + PDF CTA,"why investment banking answer, why IB interview question",Global,2,Cluster under Post C — strongest behavioral keyword
2026-09,Regional / GEO Expansion,Investment Banking Spring Week Guide: UK Recruiting for First Years,investment-banking-spring-week-guide,GEO + UK Checklist CTA,"spring week investment banking, investment banking UK first year",UK,2,UK-specific cluster — feeds off Post G
2026-09,Regional / GEO Expansion,Campus Placement Investment Banking: India Recruiting Guide (IIT IIM ISB),investment-banking-campus-placements-india,GEO + India Checklist CTA,"campus placements investment banking India, IIM investment banking recruiting",India,2,India-specific cluster — feeds off Post G
2026-10,Technical Deep Dive,M&A Interview Questions: Accretion Dilution Synergies and Deal Structure,investment-banking-ma-interview-questions,Drill + Template CTA,"M&A interview questions investment banking, accretion dilution interview",Global,2,Cluster under Post B — completes M&A coverage
2026-10,Conversion / Tools,Investment Banking Resume Guide: What Banks Actually Screen For,investment-banking-resume-guide,Guide + Template CTA,"investment banking resume, IB resume tips, investment banking CV",Global,2,High-volume top-of-funnel — drives registration
2026-11,Process / Behavioral,Questions to Ask in an Investment Banking Interview,questions-to-ask-investment-banking-interview,Behavioral + CTA,"questions to ask investment banking interviewer, IB interview closing questions",Global,2,Existing post refresh opportunity + new CTA
2026-11,Conversion / Seasonal,Investment Banking Recruiting Timeline: When Does Everything Happen?,investment-banking-recruiting-timeline,Process + PDF CTA,"investment banking recruiting timeline, when does IB recruiting start",US,2,Seasonal demand spike — publish before fall recruiting season
2026-12,Year-End / Seasonal,Investment Banking Interview Prep for MBA Students: What's Different,investment-banking-mba-interview-prep,Pillar + PDF CTA,"investment banking MBA interview, associate interview investment banking",Global,2,Audience expansion — MBA / career switcher segment
2026-12,Refresh + Evergreen,Investment Banking Valuation Interview Questions: Complete Guide (2027),investment-banking-valuation-interview-questions-2027,Pillar Refresh + CTA,"valuation interview questions investment banking, comparable companies interview",Global,2,Refresh of existing valuation post — update date and add new content
